primarytext,header2,header3,img links,cta
"All your daily essentials, delivered to your doorstep in minutes. Just sit back and order on Instamart!",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288896675_398398865637860_1937979392844345645_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=HrDu26U6roEAX_tGWIm&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-ynUVLbC4SwKc0Wlk4HYHIL_8O7zpGEBnqKSW9YZNW5A&oe=62B4AEDE,
"All your daily essentials, delivered to your doorstep in minutes. Just sit back and order on Instamart!",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288962134_2343497335948985_6667861499420937752_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=1rcDKsVOh-oAX_Vv-pR&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-vrqwVJbraodffuvbgatkBlwXaHynbPCWlUK3gyxAnew&oe=62B33DAF,
"All your daily essentials, delivered to your doorstep in minutes. Just sit back and order on Instamart!",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/289186975_554955686337114_3406213958461428152_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=hXJRf132K8sAX-N7gDF&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-9DPc2_3GtYNwl_cBzUDyoxXHqEmkGlPsfrRcHuZyI4w&oe=62B4068C,
"While some things are worth waiting for, others aren’t. Click to get your groceries in an instant.",Wait for webisodes. Not for groceries.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288699808_788132649266922_4978127862746073077_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=od-4vff7p9UAX_kkXPw&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8IYZ4lf6E5xY4lCctbVDdSp43qcqNVvvmyhu8tIC1Fqg&oe=62B39CD1,Install Now
"Summer is hot.

But it can also be delicious.",Get fresh mangoes in minutes.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288672397_513779590540448_1344700059670578131_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=WPdt-PtYYvYAX_kDNle&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-GB9hxtn8ogsqvKjTf45NVYya1CWORBSMruz9ulmON6A&oe=62B45928,Install Now
Name a grocery item and Swiggy Instamart will bring it over in minutes.,Get groceries in minutes.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/289149123_1260021574803404_6772131176862767256_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=Zet2uXtvJZ8AX_7KPSZ&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-QL8QR7vBD_Lc_FdrwrCyywG2a0aDTdr82-5vWd0f8SA&oe=62B4A2FC,Install Now
Turn summer green with envy.,Get tender coconut in minutes.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288519295_569494654662429_7818861329447353156_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=zFHI7cPPMuwAX-VwxgA&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9c88MH5Cu4oeByQNXN3jFLVc02Xx4crVpT0dywLIKNHA&oe=62B3887D,Install Now
Just for our favourite foodie 👉  Use code WELCOMEBACK and get 60% off up to ₹100 + Paytm cashback of ₹30.,Azeez Restaurant Poojappura,₹200,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/287192303_756790298834414_8562247534475221140_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=jkiEQE-Ho9oAX_k6dty&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_bTDhRmuFohUVCxjR0QZ0EOoMGaomkA3t2rmy302vkuw&oe=62B37647,Order Now
Just for our favourite foodie 👉  Use code WELCOMEBACK and get 60% off up to ₹100 + Paytm cashback of ₹30.,Pizza Galleria (Model Town),₹199,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/286887042_973606349986247_1274260336790718318_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ho_jhrn24W4AX8OJPE5&_nc_ht=scontent.fblr22-1.fna&oh=00_AT94cu7u_z8alX7ge0Yt7cL7l0NEAvxei4oXmjkAsd-gZA&oe=62B4625A,Order Now
Just for our favourite foodie 👉  Use code WELCOMEBACK and get 60% off up to ₹100 + Paytm cashback of ₹30,Get the best offers on Swiggy,,,Order Now
